#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_3638	0	0	4	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
ASV_3639	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	19	0	0	3	0	11	20
ASV_3640	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	8	2	3	0	0	10	2
ASV_3641	0	0	0	27	0	3	0	0	2	0	4	0	0	0	8	0	0	4	9	0	0	0	0	7	0	0	0	2	4	0
ASV_3642	0	0	0	7	0	0	0	0	16	0	0	0	0	9	0	0	0	0	3	0	0	0	0	10	0	0	0	0	26	0
ASV_3643	0	0	0	0	41	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	10	0	0	0	0	0	0	6
ASV_3644	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	4	0	0	2	0	28	17	0	0	0	10	0
ASV_3645	0	0	0	0	0	0	0	0	0	0	0	0	0	2	19	2	0	0	0	0	0	2	0	0	40	3	2	0	0	0
ASV_3646	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	7	15	0	0	0	0	4	0	2	2	0	17	0
ASV_3647	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	45	0
ASV_3648	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	11	0	0	0	0	5	5	3	0	17	3	0	10	3	0
ASV_3649	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	7	0	17	0	0	0	3	0	0	0	4	0	26	3
ASV_3650	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	20	0	2	0	0	0	0	0	12	12	12	0
ASV_3651	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	0	3	0	0	3	2	6	0	3	12	5	20	4
ASV_3652	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	2	0	13	0	0	5	0	0	0	0	4	22	16	0
ASV_3653	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	2	0	0	4	12	0	0	0	0	0	0	0	0	32
ASV_3654	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	17	25	0	13	0	0
ASV_3655	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	8	22	12	0
ASV_3656	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	11	9	0	39
ASV_3657	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	45	0	0	17	0	0	0	0	0
ASV_3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	4	7	0	0	24
ASV_3659	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	4	0	0	0	0	0	20	3	0	0	20	0	3	0
ASV_3660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	8	0	28	25	0	0	0	0
