Feature ID	taxonomy
ASV_1168	Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Acidisoma
ASV_1169	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_117	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia, Paraburkholderia_nodosa
ASV_1170	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Pantoea
ASV_1171	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia, Paraburkholderia_unamae
ASV_1172	Bacteria, Acidobacteriota, Subgroup_5, Subgroup_5, Subgroup_5, Subgroup_5, uncultured_bacterium
ASV_1173	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Sphingomonas_koreensis
ASV_1174	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1175	Bacteria, Patescibacteria, Saccharimonadia, Saccharimonadales, Saccharimonadales, Saccharimonadales, uncultured_soil
ASV_1176	Bacteria, Acidobacteriota, Subgroup_5, Subgroup_5, Subgroup_5, Subgroup_5, uncultured_bacterium
ASV_1177	Bacteria, Chloroflexi, Chloroflexia, Thermomicrobiales, AKYG1722, AKYG1722, uncultured_Chloroflexi
ASV_1178	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Roseiarcus, uncultured_bacterium
ASV_1179	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_118	Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, uncultured
ASV_1180	Bacteria, Proteobacteria, Alphaproteobacteria, uncultured, uncultured, uncultured, uncultured_bacterium
ASV_1181	Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Micrococcaceae, Pseudarthrobacter
ASV_1182	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured
ASV_1183	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhodomicrobiaceae, Rhodomicrobium
ASV_1184	Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae, Candidatus_Solibacter, uncultured_Acidobacteria
ASV_1185	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Solirubrobacter, uncultured_bacterium
ASV_1186	Bacteria, Myxococcota, Polyangia, Haliangiales, Haliangiaceae, Haliangium
ASV_1187	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured
ASV_1188	Bacteria, Chloroflexi, KD4-96, KD4-96, KD4-96, KD4-96, uncultured_bacterium
ASV_1189	Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium
ASV_119	Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium
ASV_1190	Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae, Steroidobacter
ASV_1191	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas
ASV_1192	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, uncultured, uncultured_bacterium
