Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	Shared
ASV_5373	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_5373	0	0.00488114414018646	0	0.00786142920782998	0	0	0	0.0108764220921886	0	0	0	0	0	0	0	0.00827791727601336	Soil associated
ASV_3645	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_3645	0	0.0170840044906526	0	0.01572285841566	0.0679408028830532	0.0318139750115687	0	0.0239281286028148	0	0	0	0	0.0265595431758574	0.0040384460059769	0	0.0165558345520267	Soil associated
ASV_5052	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_5052	0	0	0	0.01310238201305	0	0.011568718186025	0	0	0	0	0	0	0	0	0.0154474614671656	0	Rhizhomorph
ASV_2055	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_2055	0	0.0219651486308391	0	0.0235842876234899	0	0.0404905136510875	0	0.0261034130212525	0	0.0549795790135093	0.0403312540331254	0	0.0398393147637861	0.0080768920119538	0.00514915382238852	0.0248337518280401	Rhizhomorph_Soil associated
ASV_5698	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_5698	0	0.00732171621027969	0	0	0	0	0	0.00652585325531313	0	0	0	0	0.00995982869094652	0	0	0	Non-core
ASV_3104	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_3104	0	0	0	0	0	0	0.0954927425515661	0	0	0.116242538485705	0.0430200043020004	0	0	0	0	0	Rhizhomorph
ASV_4948	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_4948	0	0.0170840044906526	0	0	0	0	0	0.00652585325531313	0	0.0392711278667923	0	0	0.0165997144849109	0	0.0120146922522399	0	Rhizhomorph
ASV_3556	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_3556	0	0	0.0167434072833822	0	0.0265855315629339	0.00578435909301249	0.0668449197860962	0.0130517065106263	0	0.040841972981464	0.00537750053775005	0	0	0	0	0	Rhizhomorph
ASV_2265	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_2265	0	0.0292868648411188	0.00837170364169108	0.0288252404287099	0.00590789590287419	0.00867653863951874	0	0.0261034130212525	0	0.00785422557335847	0.0107550010755001	0.0100438581807225	0	0.0524997980776997	0.10298307644777	0.0303523633453823	Core
ASV_4532	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_4532	0	0.00732171621027969	0	0	0.0147697397571855	0.0260296159185562	0	0.00870113767375084	0	0	0.0134437513443751	0	0.0132797715879287	0.0080768920119538	0.0205966152895541	0.0248337518280401	Rhizhomorph_Soil associated
ASV_3306	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_3306	0	0.0146434324205594	0	0.02096381122088	0	0.0260296159185562	0	0.0217528441843771	0	0.040841972981464	0.0295762529576253	0	0.00995982869094652	0.0121153380179307	0.0171638460746284	0.0110372230346845	Rhizhomorph_Soil associated
